"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PHC2",0.370165118810187,4.99807929610247,93.0339555787058,7.17616953203094e-07,0.0013044829614231,7.22274064512229
"MAP3K8",1.40630787585063,1.86858197769765,92.5269329058453,7.30963750313632e-07,0.0013044829614231,7.20975832174103
"IRF2BPL",0.508807457149405,5.92015531196282,91.9184262957739,7.47410059145994e-07,0.0013044829614231,7.19399707585223
"AIF1L",-0.363275609996054,5.58050004575759,-91.3544631295426,7.63083280517302e-07,0.0013044829614231,7.17921125641037
"SLC44A1",1.06660682876272,4.06637806714013,91.0582959411661,7.7148491496229e-07,0.0013044829614231,7.17137685812314
"SLC29A1",-0.857981229016461,4.70208020948429,-90.2225612882947,7.95848657957297e-07,0.0013044829614231,7.14900729526709
"STX3",0.680531886482263,5.2560244303321,89.1606788623599,8.28264185390805e-07,0.0013044829614231,7.12001529071321
"HPS1",0.359875392269399,4.41441230684483,85.4056584273877,9.57591662708233e-07,0.00136220622492617,7.01212205266039
"WWP2",0.690030262641525,4.87845974806923,85.2947130715254,9.617981219808e-07,0.00136220622492617,7.00880119687861
"LRRC2",0.0595587152808579,0.0198529050936193,85.1139125963702,9.6870458419091e-07,0.00136220622492617,7.00337245253553
"TIGD6",-0.428134386606674,3.77945543037117,-82.5855720631629,1.07238541199888e-06,0.00145600355903599,6.92519664672726
"RNPS1",-0.316798307162067,7.12004447096215,-79.7995818764672,1.2039342982e-06,0.00155546800328501,6.8339185640719
